iter	Logloss
0	0.665476919
1	0.63955267
2	0.6181599854
3	0.5982789815
4	0.5809234004
5	0.5640969765
6	0.5507713149
7	0.540314153
8	0.5298843253
9	0.5186917093
10	0.5105039525
11	0.5031263482
12	0.4960434512
13	0.4894909813
14	0.4826280507
15	0.4765534122
16	0.4716857182
17	0.4671738868
18	0.4635479904
19	0.4592558075
20	0.4555930833
21	0.4519208104
22	0.4483033275
23	0.4457948541
24	0.4432301565
25	0.4407640936
26	0.438871226
27	0.4369509157
28	0.4347653485
29	0.4325148119
30	0.4311334125
31	0.4298661255
32	0.4286443999
33	0.4274906322
34	0.4263426334
35	0.4251621143
36	0.4242822891
37	0.4231247351
38	0.4222107875
39	0.4211668099
40	0.4202488841
41	0.4193306738
42	0.4186112674
43	0.4179489007
44	0.4171191547
45	0.4162201271
46	0.4155581288
47	0.4147969083
48	0.4142017142
49	0.4135943384
50	0.4129513674
51	0.4122261024
52	0.4117207543
53	0.4112292925
54	0.4106982136
55	0.4102401425
56	0.4097488224
57	0.409168355
58	0.4087179462
59	0.4084376029
60	0.4080273301
61	0.407612676
62	0.4072111354
63	0.4068043446
64	0.4062824306
65	0.4058504939
66	0.4055676667
67	0.4052112167
68	0.4049780167
69	0.4046798126
70	0.4042787542
71	0.4040061815
72	0.4038075581
73	0.4034249492
74	0.4031559467
75	0.4028249811
76	0.4025425433
77	0.4022141154
78	0.4018956689
79	0.4016574049
80	0.4012866903
81	0.4010319255
82	0.400856569
83	0.400572259
84	0.4004030769
85	0.4001788244
86	0.3999497535
87	0.3996989284
88	0.3995209554
89	0.3993279365
90	0.3990537032
91	0.398897238
92	0.3986942738
93	0.3985054054
94	0.3983432902
95	0.398195518
96	0.3980337113
97	0.397823882
98	0.3977233796
99	0.3975516854
100	0.3973955975
101	0.3972284686
102	0.397086632
103	0.3969134225
104	0.3967299988
105	0.3965649092
106	0.3963995446
107	0.3962287608
108	0.3961437343
109	0.396030785
110	0.3958435891
111	0.3957183831
112	0.3955382953
113	0.3953928412
114	0.3952764757
115	0.3951630344
116	0.3949843436
117	0.3948773654
118	0.3947584185
119	0.3946493145
120	0.3944604463
121	0.3944186562
122	0.3944051445
123	0.3942030317
124	0.3941098886
125	0.3939518187
126	0.3938623743
127	0.3936736238
128	0.3935260919
129	0.3932955819
130	0.393161699
131	0.3930305755
132	0.3928830731
133	0.3927724911
134	0.3926094939
135	0.3924873347
136	0.3924379214
137	0.3923002412
138	0.3921908932
139	0.3919925708
140	0.3919202621
141	0.391804456
142	0.3916830116
143	0.3915803608
144	0.3913705396
145	0.3912338663
146	0.3910807651
147	0.391057519
148	0.3909499393
149	0.3908956099
150	0.3907199676
151	0.3905038924
152	0.3903544908
153	0.3902626528
154	0.390138245
155	0.3900261197
156	0.3899414048
157	0.3897323666
158	0.3896371518
159	0.3894564522
160	0.3892516531
161	0.3891300348
162	0.389018762
163	0.3889924727
164	0.3889080395
165	0.3887545616
166	0.388615961
167	0.3884116334
168	0.3882972463
169	0.3880663129
170	0.3879368541
