iter	Logloss
171	0.3877895724
172	0.3876207827
173	0.3874372333
174	0.3871079404
175	0.3869154648
176	0.3867871493
177	0.3866107295
178	0.3864812303
179	0.3863329441
180	0.3861873846
181	0.3860691679
182	0.386022051
183	0.3858853429
184	0.3857587855
185	0.3855992931
186	0.3854912282
187	0.3853684838
188	0.3852435494
189	0.3851413142
190	0.3850486457
191	0.3849632371
192	0.3848264443
193	0.38473479
194	0.3846113979
195	0.3845149832
196	0.3844155712
197	0.3843060868
198	0.3841397269
199	0.3840090256
200	0.3838391949
201	0.3837646199
202	0.383637335
203	0.3835324696
204	0.3834721486
205	0.3833497548
206	0.3831542504
207	0.383035124
208	0.3829082227
209	0.3828154354
210	0.3825840669
211	0.3825292916
212	0.3823818006
213	0.3822669904
214	0.3821797502
215	0.3820240595
216	0.3818984677
217	0.3818119941
218	0.3817046569
219	0.3815428035
220	0.3814181667
221	0.381180432
222	0.3810246122
223	0.3809425784
224	0.3808528635
225	0.3807062668
226	0.3806058679
227	0.3804693306
228	0.3802911409
229	0.380183371
230	0.3800063701
231	0.3799236349
232	0.3797788696
233	0.3795988068
234	0.3794280231
235	0.3792984425
236	0.3792038905
237	0.3790417228
238	0.3789187149
239	0.378831916
240	0.3787362053
241	0.378613324
242	0.3785422895
243	0.3784454043
244	0.3782673478
245	0.3781099927
246	0.377983659
247	0.377846203
248	0.3776594553
249	0.3773953389
250	0.3773402413
251	0.3771777482
252	0.3771223097
253	0.3769242322
254	0.3767751822
255	0.3766287515
256	0.3764869774
257	0.3764093481
258	0.3761748021
259	0.3759971429
260	0.3758033161
261	0.3756742466
262	0.3756170234
263	0.3754481341
264	0.3753330098
265	0.3751522244
266	0.3750011406
267	0.3749087664
268	0.3747923186
269	0.3746797938
270	0.3745356816
271	0.3743329437
272	0.374174683
273	0.3741067632
274	0.3739463701
275	0.3738203692
276	0.3737268207
277	0.373492988
278	0.3733745814
279	0.3732362398
280	0.3729999376
281	0.3728810473
282	0.3727484854
283	0.3725450051
284	0.3724822891
285	0.372350473
286	0.3723075671
287	0.372160782
288	0.3719969609
289	0.3718534458
290	0.3718056819
291	0.371670001
292	0.3715347735
293	0.3715017201
294	0.3713425039
295	0.3712243199
296	0.3710383123
297	0.3708288925
298	0.3707174087
299	0.3705936816
300	0.3705095852
301	0.3703956168
302	0.3702352169
303	0.3700593466
304	0.3699541582
305	0.3698140789
306	0.3696870348
307	0.3695460346
308	0.3693133707
309	0.3692055762
310	0.3690874268
311	0.368889988
312	0.3687718365
313	0.3685618187
314	0.3684024387
315	0.3682338343
316	0.3681219472
317	0.3679441967
318	0.3677037567
319	0.3674975412
320	0.367367004
321	0.3671745152
322	0.3670393812
323	0.3669427052
324	0.3668188696
